(laparoscopic) adjustment of size of adjustable gastric restrictive device;ICD9:44.98;Surgical Procedure                               
AE1/3;LOINC:40560-5;Immunohistochemical Profile                                                                                        
Abdominal proctopexy;ICD9:48.75;Surgical Procedure                                                                                     
Abdominoperineal resection of rectum;ICD9:48.5;Surgical Procedure                                                                      
Abdominoperineal resection of the rectum, not otherwise specified;ICD9:48.50;Surgical Procedure                                        
Adrenal;SNOMED:362894002;Site of tumor                                                                                                 
Allotransplantation of cells of islets of langerhans;ICD9:52.85;Surgical Procedure                                                     
Anal cerclage;ICD9:49.72;Surgical Procedure                                                                                            
Anal fistulectomy;ICD9:49.12;Surgical Procedure                                                                                        
Anal fistulotomy;ICD9:49.11;Surgical Procedure                                                                                         
Anastomosis of gallbladder or bile duct;ICD9:51.3;Surgical Procedure                                                                   
Anastomosis of gallbladder to hepatic ducts;ICD9:51.31;Surgical Procedure                                                              
Anastomosis of gallbladder to intestine;ICD9:51.32;Surgical Procedure                                                                  
Anastomosis of gallbladder to pancreas;ICD9:51.33;Surgical Procedure                                                                   
Anastomosis of gallbladder to stomach;ICD9:51.34;Surgical Procedure                                                                    
Anastomosis of hepatic duct to gastrointestinal tract;ICD9:51.37;Surgical Procedure                                                    
Anastomosis of pancreas;ICD9:52.96;Surgical Procedure                                                                                  
Anastomosis of small intestine to rectal stump;ICD9:45.92;Surgical Procedure                                                           
Anastomosis to anus;ICD9:45.95;Surgical Procedure                                                                                      
Anorectal myectomy;ICD9:48.92;Surgical Procedure                                                                                       
Anoscopy;ICD9:49.21;Surgical Procedure                                                                                                 
Anterior basal segment of left lower lobe;SNOMED:63215004;Site of tumor                                                                
Anterior basal segment of right lower lobe;SNOMED:11098002;Site of tumor                                                               
Anterior resection of rectum with synchronous colostomy;ICD9:48.62;Surgical Procedure                                                  
Antesternal anastomosis of esophagus;ICD9:42.6;Surgical Procedure                                                                      
Antesternal esophageal anastomosis with interposition of colon;ICD9:42.65;Surgical Procedure                                           
Antesternal esophageal anastomosis with interposition of small bowel;ICD9:42.63;Surgical Procedure                                     
Antesternal esophagoesophagostomy;ICD9:42.61;Surgical Procedure                                                                        
Antesternal esophagogastrostomy;ICD9:42.62;Surgical Procedure                                                                          
Anus;SNOMED:181262009;Site of tumor                                                                                                    
Apical segment of left upper lobe;SNOMED:245522000;Site of tumor                                                                       
Apical segment of lung;SNOMED:245515008;Site of tumor                                                                                  
Apical segment of right upper lobe ;SNOMED:361970001;Site of tumor                                                                     
Appendectomy;ICD9:47.0;Surgical Procedure                                                                                              
Appendicostomy;ICD9:47.91;Surgical Procedure                                                                                           
Appendix;SNOMED:181255000;Site of tumor                                                                                                
Artificial pneumothorax for collapse of lung;ICD9:33.32;Surgical Procedure                                                             
Autotransplantation of cells of islets of langerhans;ICD9:52.84;Surgical Procedure                                                     
Auxiliary liver transplant;ICD9:50.51;Surgical Procedure                                                                               
Basal segment of lung;SNOMED:245516009;Site of tumor                                                                                   
Base of left lung;SNOMED:184611002;Site of tumor                                                                                       
Base of lung;SNOMED:314791004;Site of tumor                                                                                            
Base of right lung;SNOMED:181416003;Site of tumor                                                                                      
Ber-EP4;LOINC:47010-4;Immunohistochemical Profile                                                                                      
