Adrenal;SNOMED:362894002;Site of tumor                                        
Anterior basal segment of left lower lobe;SNOMED:63215004;Site of tumor       
Anterior basal segment of right lower lobe;SNOMED:11098002;Site of tumor      
Anus;SNOMED:181262009;Site of tumor                                           
Apical segment of left upper lobe;SNOMED:245522000;Site of tumor              
Apical segment of lung;SNOMED:245515008;Site of tumor                         
Apical segment of right upper lobe ;SNOMED:361970001;Site of tumor            
Appendix;SNOMED:181255000;Site of tumor                                       
Basal segment of lung;SNOMED:245516009;Site of tumor                          
Base of left lung;SNOMED:184611002;Site of tumor                              
Base of lung;SNOMED:314791004;Site of tumor                                   
Base of right lung;SNOMED:181416003;Site of tumor                             
Bones;SNOMED:123037004;Site of tumor                                          
Brain & CNS;SNOMED:389111004;Site of tumor                                    
Breast;SNOMED:181131000;Site of tumor                                         
Bronchopulmonary segment;SNOMED:72674008;Site of tumor                        
Cervical Pleura;SNOMED:202395000;Site of tumor                                
Cervix Uteri;SNOMED:181453009;Site of tumor                                   
Colon;SNOMED:372174009;Site of tumor                                          
Corpus Uteri;SNOMED:396311006;Site of tumor                                   
Costal Pleura;SNOMED:368060008;Site of tumor                                  
Diaphragmatic Pleura;SNOMED:202302008;Site of tumor                           
Entire parietal pleura;SNOMED:187338008;Site of tumor                         
Esophagus;SNOMED:300294009;Site of tumor                                      
Fibrous pericardium;SNOMED:243953008;Site of tumor                            
Fissure of Lung;SNOMED:278983006;Site of tumor                                
Fissure of left lung;SNOMED:278984000;Site of tumor                           
Fissure of right lung;SNOMED:278985004;Site of tumor                          
Gallbladder;SNOMED:363353009;Site of tumor                                    
Head & Neck;SNOMED:255056009;Site of tumor                                    
Hilum of Left Lung;SNOMED:361983000;Site of tumor                             
Hilum of Lung;SNOMED:264017007;Site of tumor                                  
Hilum of Right Lung;SNOMED:361968005;Site of tumor                            
Horizontal interlobar fissure of right lung;SNOMED:83067000;Site of tumor     
Interstitial tissue of lung;SNOMED:113254000;Site of tumor                    
Kidney;SNOMED:363518003  ;Site of tumor                                       
LUNG;SNOMED:93880001;Site of tumor                                            
Large Intestine;SNOMED:181254001;Site of tumor                                
Larynx;SNOMED:301207000;Site of tumor                                         
Lateral basal segment of left lower lobe;SNOMED:15512001;Site of tumor        
Lateral basal segment of right lower lobe;SNOMED:74932000;Site of tumor       
Left lower lobe medial segmental bronchus;SNOMED:76760009;Site of tumor       
Left lower lobe posterior segmental bronchus;SNOMED:43851006;Site of tumor    
Left parietal pleura;SNOMED:361998003;Site of tumor                           
Left pleural Mesothelium;SNOMED:397383005;Site of tumor                       
Left visceral pleura;SNOMED:49310007;Site of tumor                            
Leukemia;SNOMED:93143009;Site of tumor                                        
Liver;SNOMED:93870000;Site of tumor                                           
Lobe of lung;SNOMED:31094006;Site of tumor                                    
Lower lobe of left lung;SNOMED:361989001;Site of tumor                        
Lower lobe of right lung;SNOMED:361976007;Site of tumor                       
Lung parenchyma;SNOMED:201712001;Site of tumor                                
Lymph node;SNOMED:81756000;Site of tumor                                      
Medial basal segment of left lower lobe of lung;SNOMED:90382001;Site of tumor 
Medial basal segment of right lower lobe of lung;SNOMED:27589003;Site of tumor
Mediastinal Pleura;SNOMED:27416003;Site of tumor                              
Middle lobe of right lung;SNOMED:361973004;Site of tumor                      
Normal accessory lobe of lung;SNOMED:76271006;Site of tumor                   
Not Applicable;ANA|SITE_OF_TUMOR:NA;Site of tumor                             
OTHER;ANA|SITE_OF_TUMOR:OTHER;Site of tumor                                   
Oblique interlobar fissure of left lung;SNOMED:63914005;Site of tumor         
Oblique interlobar fissure of right lung;SNOMED:24720008;Site of tumor        
Oral Cavity;SNOMED:363505006;Site of tumor                                    
Ovary;SNOMED:363443007;Site of tumor                                          
PERICARDIUM;SNOMED:181295003;Site of tumor                                    
PERITONEUM;SNOMED:15425007;Site of tumor                                      
PLEURAL;SNOMED:74964007;Site of tumor                                         
Pancreas;SNOMED:363418001;Site of tumor                                       
Parietal Pleura;SNOMED:80338007;Site of tumor                                 
Parietal serous pericardium;SNOMED:243956000;Site of tumor                    
Parotid Gland;SNOMED:181234002;Site of tumor                                  
Pelvic Peritoneum;SNOMED:362721006;Site of tumor                              
Pharynx;SNOMED:363507003;Site of tumor                                        
Pleura;SNOMED:264148002;Site of tumor                                         
Posterior basal segment of left lower lobe;SNOMED:46148009;Site of tumor      
Posterior basal segment of right lower lobe;SNOMED:16057008;Site of tumor     
Prostate;SNOMED:399068003;Site of tumor                                       
Pulmonary acinus;SNOMED:361365004;Site of tumor                               
Pulmonary alveoli;SNOMED:113253006;Site of tumor                              
Rectosigmoid;SNOMED:363414004;Site of tumor                                   
Rectum;SNOMED:363351006;Site of tumor                                         
Renal Pelvis;SNOMED:363457009;Site of tumor                                   
Respiratory bronchiole;SNOMED:200723008;Site of tumor                         
Right apical segmental bronchus;SNOMED:65359009;Site of tumor                 
Right lower lobe anterior segmental bronchus;SNOMED:90949006;Site of tumor    
Right lower lobe lateral segmental bronchus;SNOMED:41765007;Site of tumor     
Right lower lobe posterior segmental bronchus;SNOMED:64154003;Site of tumor   
Right parietal pleura;SNOMED:184304009;Site of tumor                          
Right pleural Mesothelium;SNOMED:397382000;Site of tumor                      
Right visceral pleura;SNOMED:184204006;Site of tumor                          
Serous Pericardial Sac;SNOMED:362891005;Site of tumor                         
Serous pericardium;SNOMED:243954002;Site of tumor                             
Site of Tumor;SNOMED:371480007;Site of tumor                                  
Skin;SNOMED:402652009;Site of tumor                                           
Small Intestine;SNOMED:181250005;Site of tumor                                
Spleen;SNOMED:363499005;Site of tumor                                         
Stomach;SNOMED:363349007;Site of tumor                                        
Terminal bronchiole;SNOMED:278981008;Site of tumor                            
Testis;SNOMED:188219004;Site of tumor                                         
Thyroid;SNOMED:127018007;Site of tumor                                        
Unknown;ANA|TUMOR_SITE:UNKNOWN;Site of tumor                                  
Upper lobe of left lung;SNOMED:361984006;Site of tumor                        
Upper lobe of right lung;SNOMED:361969002;Site of tumor                       
Ureter;SNOMED:363458004;Site of tumor                                         
Urinary Bladder;SNOMED:399326009;Site of tumor                                
VISCERAL PLEURA;SNOMED:81623005;Site of tumor                                 
Visceral serous pericardium;SNOMED:243955001;Site of tumor                    

